time,flow
2016-01-01 00:00,1.104
2016-01-02 00:00,1.462
2016-01-03 00:00,1.96
2016-01-04 00:00,2.793
2016-01-05 00:00,3.247
2016-01-06 00:00,2.465
2016-01-07 00:00,3.066
2016-01-08 00:00,1.796
2016-01-09 00:00,1.869
2016-01-10 00:00,2.167
2016-01-11 00:00,1.674
2016-01-12 00:00,3.222
2016-01-13 00:00,1.707
2016-01-14 00:00,1.264
2016-01-15 00:00,0.983
2016-01-16 00:00,0.805
2016-01-17 00:00,0.687
2016-01-18 00:00,0.705
2016-01-19 00:00,0.634
2016-01-20 00:00,0.594
2016-01-21 00:00,0.744
2016-01-22 00:00,3.375
2016-01-23 00:00,1.538
2016-01-24 00:00,2.117
2016-01-25 00:00,1.348
2016-01-26 00:00,4.538
2016-01-27 00:00,3.182
2016-01-28 00:00,3.322
2016-01-29 00:00,3.501
2016-01-30 00:00,2.127
2016-01-31 00:00,2.423
2016-02-01 00:00,4.877
2016-02-02 00:00,2.579
2016-02-03 00:00,1.672
2016-02-04 00:00,1.316
2016-02-05 00:00,1.302
2016-02-06 00:00,1.165
2016-02-07 00:00,3.157
2016-02-08 00:00,1.918
2016-02-09 00:00,1.371
2016-02-10 00:00,1.053
2016-02-11 00:00,0.893
2016-02-12 00:00,0.772
2016-02-13 00:00,0.842
2016-02-14 00:00,0.67
2016-02-15 00:00,0.574
2016-02-16 00:00,2.324
2016-02-17 00:00,1.673
2016-02-18 00:00,1.206
2016-02-19 00:00,1.839
2016-02-20 00:00,1.389
2016-02-21 00:00,1.095
2016-02-22 00:00,0.858
2016-02-23 00:00,0.698
2016-02-24 00:00,0.594
2016-02-25 00:00,0.538
2016-02-26 00:00,0.487
2016-02-27 00:00,0.43
2016-02-28 00:00,0.39
2016-02-29 00:00,1.251
2016-03-01 00:00,1.499
2016-03-02 00:00,0.883
2016-03-03 00:00,0.728
2016-03-04 00:00,0.755
2016-03-05 00:00,0.581
2016-03-06 00:00,0.502
2016-03-07 00:00,0.461
2016-03-08 00:00,0.495
2016-03-09 00:00,0.469
2016-03-10 00:00,0.403
2016-03-11 00:00,0.4
2016-03-12 00:00,0.381
2016-03-13 00:00,0.347
2016-03-14 00:00,0.319
2016-03-15 00:00,0.301
2016-03-16 00:00,0.287
2016-03-17 00:00,0.276
2016-03-18 00:00,0.263
2016-03-19 00:00,0.248
2016-03-20 00:00,0.231
2016-03-21 00:00,0.222
2016-03-22 00:00,0.214
2016-03-23 00:00,0.207
2016-03-24 00:00,0.235
2016-03-25 00:00,0.21
2016-03-26 00:00,0.59
2016-03-27 00:00,0.545
2016-03-28 00:00,0.374
2016-03-29 00:00,0.332
2016-03-30 00:00,0.297
2016-03-31 00:00,0.268
2016-04-01 00:00,0.507
2016-04-02 00:00,0.48
